Time,Sine Wave,Current (A)
0.148,1.8015669848708769,1.2379850395602797e+24
0.1485,1.803441400112128,1.3305308310842642e+24
0.149,1.805307885711122,1.429558837422955e+24
0.1495,1.8071664232464,1.5354877826466147e+24
0.15,1.8090169943749477,1.648760703485629e+24
0.1505,1.8108595808323733,1.769846158680083e+24
0.151,1.8126941644330936,1.8992394841234179e+24
0.1515,1.8145207270705093,2.0374640945273959e+24
0.152,1.816339250717184,2.1850728322718637e+24
0.1525,1.8181497174250236,2.342649364028178e+24
0.153,1.8199521093254525,2.5108096256632056e+24
0.1535,1.8217464086295905,2.690203315842594e+24
0.154,1.8235325976284276,2.881515438654277e+24
0.1545,1.825310658693,3.0854678954671835e+24
0.155,1.827080574274562,3.3028211261250455e+24
0.1555,1.8288423269047616,3.534375799451921e+24
0.156,1.830595899195813,3.780974552912731e+24
0.1565,1.8323412738406637,4.0435037811269474e+24
0.157,1.8340784336131712,4.322895472785212e+24
0.1575,1.8358073613682704,4.6201290953504063e+24
0.158,1.8375280400421417,4.936233526754813e+24
0.1585,1.8392404526523816,5.272289033120156e+24
0.159,1.8409445822981687,5.629429291331411e+24
0.1595,1.8426404121604325,6.008843455092877e+24
0.16,1.844327925502015,6.411778262873624e+24
0.1605,1.8460071056678424,6.839540185930488e+24
0.161,1.8476779360850832,7.293497614347125e+24
0.1615,1.8493404002633165,7.775083078789859e+24
0.162,1.850994481794692,8.285795505414096e+24
0.1625,1.852640164354092,8.82720250108549e+24
0.163,1.8542774316992952,9.400942665801775e+24
0.1635,1.8559062676711329,1.000872792890388e+25
0.164,1.8575266561936523,1.065234590537086e+25
0.1645,1.8591385812742725,1.133366226817203e+25
0.165,1.860742027003944,1.2054623132339408e+25
0.1655,1.862336977557304,1.2817257446084095e+25
0.166,1.8639234171928352,1.362367938394996e+25
0.1665,1.8655013302530188,1.4476090736645238e+25
0.167,1.86707070116449,1.5376783291846718e+25
0.1675,1.8686315144381915,1.6328141199904337e+25
0.168,1.8701837546695252,1.7332643318016813e+25
0.1685,1.871727406538509,1.8392865526076803e+25
0.169,1.87326245480992,1.951148300699894e+25
