Voltage (V),Current (A)
-2.0,-1e-06
-1.99,-1e-06
-1.98,-1e-06
-1.97,-1e-06
-1.96,-1e-06
-1.95,-1e-06
-1.94,-1e-06
-1.93,-1e-06
-1.92,-1e-06
-1.91,-1e-06
-1.9,-1e-06
-1.89,-1e-06
-1.88,-1e-06
-1.8699999999999999,-1e-06
-1.8599999999999999,-1e-06
-1.8499999999999999,-1e-06
-1.8399999999999999,-1e-06
-1.8299999999999998,-1e-06
-1.8199999999999998,-1e-06
-1.8099999999999998,-1e-06
-1.7999999999999998,-1e-06
-1.7899999999999998,-1e-06
-1.7799999999999998,-1e-06
-1.7699999999999998,-1e-06
-1.7599999999999998,-1e-06
-1.7499999999999998,-1e-06
-1.7399999999999998,-1e-06
-1.7299999999999998,-1e-06
-1.7199999999999998,-1e-06
-1.7099999999999997,-1e-06
-1.6999999999999997,-1e-06
-1.6899999999999997,-1e-06
-1.6799999999999997,-1e-06
-1.6699999999999997,-1e-06
-1.6599999999999997,-1e-06
-1.6499999999999997,-1e-06
-1.6399999999999997,-1e-06
-1.6299999999999997,-1e-06
-1.6199999999999997,-1e-06
-1.6099999999999997,-1e-06
-1.5999999999999996,-1e-06
-1.5899999999999996,-1e-06
-1.5799999999999996,-1e-06
-1.5699999999999996,-1e-06
-1.5599999999999996,-1e-06
-1.5499999999999996,-1e-06
-1.5399999999999996,-1e-06
-1.5299999999999996,-1e-06
-1.5199999999999996,-1e-06
-1.5099999999999996,-1e-06
-1.4999999999999996,-1e-06
-1.4899999999999995,-1e-06
-1.4799999999999995,-1e-06
-1.4699999999999995,-1e-06
-1.4599999999999995,-1e-06
-1.4499999999999995,-1e-06
-1.4399999999999995,-1e-06
-1.4299999999999995,-1e-06
-1.4199999999999995,-1e-06
-1.4099999999999995,-1e-06
-1.3999999999999995,-1e-06
-1.3899999999999995,-1e-06
-1.3799999999999994,-1e-06
-1.3699999999999994,-1e-06
-1.3599999999999994,-1e-06
-1.3499999999999994,-1e-06
-1.3399999999999994,-1e-06
-1.3299999999999994,-1e-06
-1.3199999999999994,-1e-06
-1.3099999999999994,-1e-06
-1.2999999999999994,-1e-06
-1.2899999999999994,-1e-06
-1.2799999999999994,-1e-06
-1.2699999999999994,-1e-06
-1.2599999999999993,-1e-06
-1.2499999999999993,-1e-06
-1.2399999999999993,-1e-06
-1.2299999999999993,-1e-06
-1.2199999999999993,-1e-06
-1.2099999999999993,-1e-06
-1.1999999999999993,-1e-06
-1.1899999999999993,-1e-06
-1.1799999999999993,-1e-06
-1.1699999999999993,-1e-06
-1.1599999999999993,-1e-06
-1.1499999999999992,-1e-06
-1.1399999999999992,-1e-06
-1.1299999999999992,-1e-06
-1.1199999999999992,-1e-06
-1.1099999999999992,-1e-06
-1.0999999999999992,-1e-06
-1.0899999999999992,-1e-06
-1.0799999999999992,-1e-06
-1.0699999999999992,-1e-06
-1.0599999999999992,-1e-06
-1.0499999999999992,-1e-06
-1.0399999999999991,-1e-06
-1.0299999999999991,-1e-06
-1.0199999999999991,-1e-06
-1.0099999999999991,-1e-06
-0.9999999999999991,-1e-06
-0.9899999999999991,-1e-06
-0.9799999999999991,-1e-06
-0.9699999999999991,-1e-06
-0.9599999999999991,-1e-06
-0.9499999999999991,-1e-06
-0.9399999999999991,-1e-06
-0.929999999999999,-1e-06
-0.919999999999999,-1e-06
-0.909999999999999,-1e-06
-0.899999999999999,-1e-06
-0.889999999999999,-1e-06
-0.879999999999999,-1e-06
-0.869999999999999,-1e-06
-0.859999999999999,-1e-06
-0.849999999999999,-1e-06
-0.839999999999999,-1e-06
-0.829999999999999,-1e-06
-0.819999999999999,-1e-06
-0.8099999999999989,-1e-06
-0.7999999999999989,-1e-06
-0.7899999999999989,-1e-06
-0.7799999999999989,-1e-06
-0.7699999999999989,-1e-06
-0.7599999999999989,-1e-06
-0.7499999999999989,-1e-06
-0.7399999999999989,-1e-06
-0.7299999999999989,-1e-06
-0.7199999999999989,-1e-06
-0.7099999999999989,-1e-06
-0.6999999999999988,-1e-06
-0.6899999999999988,-1e-06
-0.6799999999999988,-1e-06
-0.6699999999999988,-1e-06
-0.6599999999999988,-1e-06
-0.6499999999999988,-1e-06
-0.6399999999999988,-1e-06
-0.6299999999999988,-1e-06
-0.6199999999999988,-1e-06
-0.6099999999999988,-1e-06
-0.5999999999999988,-1e-06
-0.5899999999999987,-1e-06
-0.5799999999999987,-1e-06
-0.5699999999999987,-1e-06
-0.5599999999999987,-1e-06
-0.5499999999999987,-1e-06
-0.5399999999999987,-1e-06
-0.5299999999999987,-1e-06
-0.5199999999999987,-1e-06
-0.5099999999999987,-1e-06
-0.49999999999999867,-1e-06
-0.48999999999999866,-1e-06
-0.47999999999999865,-1e-06
-0.46999999999999864,-1e-06
-0.45999999999999863,-1e-06
-0.4499999999999986,-1e-06
-0.4399999999999986,-1e-06
-0.4299999999999986,-1e-06
-0.4199999999999986,-1e-06
-0.4099999999999986,-1e-06
-0.3999999999999986,-1e-06
-0.38999999999999857,-1e-06
-0.37999999999999856,-1e-06
-0.36999999999999855,-1e-06
-0.35999999999999854,-1e-06
-0.34999999999999853,-1e-06
-0.3399999999999985,-1e-06
-0.3299999999999985,-1e-06
-0.3199999999999985,-1e-06
-0.3099999999999985,-1e-06
-0.2999999999999985,-1e-06
-0.2899999999999985,-1e-06
-0.2799999999999985,-1e-06
-0.26999999999999846,-1e-06
-0.25999999999999845,-1e-06
-0.24999999999999845,-1e-06
-0.23999999999999844,-1e-06
-0.22999999999999843,-1e-06
-0.21999999999999842,-1e-06
-0.2099999999999984,-1e-06
-0.1999999999999984,-1e-06
-0.1899999999999984,-1e-06
-0.17999999999999838,-1e-06
-0.16999999999999837,-1e-06
-0.15999999999999837,-1e-06
-0.14999999999999836,-1e-06
-0.13999999999999835,-1e-06
-0.12999999999999834,-1e-06
-0.11999999999999833,-1e-06
-0.10999999999999832,-1e-06
-0.09999999999999831,-1e-06
-0.0899999999999983,-1e-06
-0.0799999999999983,-1e-06
-0.06999999999999829,-1e-06
-0.05999999999999828,-1e-06
